"spec","long","lat","bio1","bio12","bio15","bio16","bio18","bio5","bio6","bio8"
"variegata_1",-40.443889,-18.776944,160,1510,150,103,68,310,247,236
"variegata_1",-40.4625,-18.7669,164,1481,151,103,68,315,251,239
"variegata_1",-40.4625,-18.766944,164,1481,151,103,68,315,251,239
"cryptantha_1",-40.614444,-20.173056,126,1675,155,98,63,281,219,204
"variegata_1",-40.604167,-19.780556,158,1655,157,102,64,315,251,237
"variegata_1",-40.814722,-19.897778,134,1689,164,107,65,298,233,219
"variegata_1",-40.739444,-19.760833,152,1692,162,106,65,314,248,234
"variegata_1",-40.319167,-20.17,175,1662,135,81,60,310,254,240
"variegata_1",-40.328889,-20.191111,175,1662,135,81,60,310,254,240
"variegata_1",-41.008089,-20.436427,87,1710,169,108,63,256,189,174
"cryptantha_1",-42.475278,-20.700278,62,1865,181,120,66,243,177,160
"variegata_1",-44.466667,-20.733333,89,1883,182,123,67,271,206,191
"variegata_1",-42.0175,-21.9675,99,2112,170,102,60,269,206,189
"variegata_1",-58.0175,-21.9675,146,2982,197,114,57,343,281,249
"variegata_2",-45.44222222,-18.78777778,123,1636,186,131,70,309,242,231
"variegata_2",-43.552778,-18.355,105,1739,173,107,61,278,206,191
"variegata_2",-43.620417,-18.1543,109,1729,173,107,61,282,210,195
"variegata_2",-43.588711,-18.239956,107,1704,170,103,60,277,203,189
"variegata_2",-43.627794,-18.195092,108,1713,172,106,61,280,207,193
"cryptantha_2",-43.527406,-18.277497,107,1755,174,107,61,281,209,194
"variegata_2",-39.475556,-12.854444,159,1390,107,68,63,266,222,211
"variegata_2",-39.475833,-12.853611,159,1390,107,68,63,266,222,211
"variegata_2",-39.4758,-12.8536,159,1390,107,68,63,266,222,211
"variegata_2",-39.796111,-16.61,171,1566,139,94,67,310,254,242
"variegata_2",-39.533333,-12.75,175,1431,108,68,62,283,239,228
"cryptantha_2",-39.53333,-12.75,175,1431,108,68,62,283,239,228
"variegata_2",-39.475556,-12.853611,159,1390,107,68,63,266,222,211
"variegata_2",-39.2832,-12.5116,177,1516,118,75,63,295,230,235
"variegata_2",-39.466667,-12.85,159,1390,107,68,63,266,222,211
"cryptantha_2",-39.471944,-12.853056,159,1390,107,68,63,266,222,211
"variegata_2",-40.95,-20.433333,96,1717,167,106,63,263,197,182
"variegata_2",-40.98525,-18.569278,151,1526,164,111,67,315,247,234
"variegata_2",-40.985,-18.566111,151,1526,164,111,67,315,247,234
"variegata_2",-41.121111,-18.421667,129,1575,167,111,66,296,227,213
"variegata_2",-40.798611,-18.944167,146,1527,162,109,67,308,241,229
"variegata_2",-40.667778,-18.978889,157,1512,157,107,68,314,249,237
"cryptantha_2",-40.665556,-18.977778,159,1506,156,107,68,315,250,238
"variegata_2",-41.286139,-20.175833,97,1806,179,117,65,276,206,191
"variegata_2",-41.100556,-20.519167,77,1738,169,109,64,246,179,164
"variegata_2",-41.083611,-20.516111,77,1738,169,109,64,246,179,164
"variegata_2",-40.551111,-19.348333,155,1568,155,104,67,310,246,234
"variegata_2",-40.980014,-20.411644,91,1727,167,107,64,258,192,177
"cryptantha_2",-40.473889,-19.907944,139,1648,152,97,63,291,229,215
"variegata_2",-40.472222,-19.914167,139,1648,152,97,63,291,229,215
"variegata_2",-40.775,-19.797222,125,1665,163,107,65,288,223,209
"variegata_2",-40.7775,-19.8025,125,1665,163,107,65,288,223,209
"variegata_2",-40.981111,-19.741389,122,1706,171,112,65,293,225,211
"cryptantha_2",-40.824722,-19.888889,134,1689,164,107,65,298,233,219
"variegata_2",-41.439444,-20.868333,119,1895,180,115,63,299,229,212
"variegata_2",-41.554944,-20.945083,91,1889,182,119,65,273,203,187
"variegata_2",-41.545833,-20.940556,91,1889,182,119,65,273,203,187
"variegata_2",-40.4575,-18.77,160,1510,150,103,68,310,247,236
"variegata_2",-40.443889,-18.776944,160,1510,150,103,68,310,247,236
"variegata_2",-40.4625,-18.7669,164,1481,151,103,68,315,251,239
"variegata_2",-40.4625,-18.766944,164,1481,151,103,68,315,251,239
"variegata_2",-40.614444,-20.173056,126,1675,155,98,63,281,219,204
"variegata_2",-40.604167,-19.780556,158,1655,157,102,64,315,251,237
"variegata_2",-40.814722,-19.897778,134,1689,164,107,65,298,233,219
"variegata_2",-40.739444,-19.760833,152,1692,162,106,65,314,248,234
"variegata_2",-40.319167,-20.17,175,1662,135,81,60,310,254,240
"variegata_2",-40.328889,-20.191111,175,1662,135,81,60,310,254,240
"variegata_2",-41.008089,-20.436427,87,1710,169,108,63,256,189,174
"variegata_2",-42.475278,-20.700278,62,1865,181,120,66,243,177,160
"variegata_2",-44.466667,-20.733333,89,1883,182,123,67,271,206,191
"variegata_2",-42.0175,-21.9675,99,2112,170,102,60,269,206,189
"variegata_2",-58.0175,-21.9675,146,2982,197,114,57,343,281,249
"variegata_3",-45.44222222,-18.78777778,123,1636,186,131,70,309,242,231
"variegata_3",-43.552778,-18.355,105,1739,173,107,61,278,206,191
"cryptantha_3",-43.620417,-18.1543,109,1729,173,107,61,282,210,195
"variegata_3",-43.588711,-18.239956,107,1704,170,103,60,277,203,189
"cryptantha_3",-43.627794,-18.195092,108,1713,172,106,61,280,207,193
"variegata_3",-43.527406,-18.277497,107,1755,174,107,61,281,209,194
"variegata_3",-39.475556,-12.854444,159,1390,107,68,63,266,222,211
"variegata_3",-39.475833,-12.853611,159,1390,107,68,63,266,222,211
"variegata_3",-39.4758,-12.8536,159,1390,107,68,63,266,222,211
"variegata_3",-39.796111,-16.61,171,1566,139,94,67,310,254,242
"cryptantha_3",-39.533333,-12.75,175,1431,108,68,62,283,239,228
"variegata_3",-39.53333,-12.75,175,1431,108,68,62,283,239,228
"variegata_3",-39.475556,-12.853611,159,1390,107,68,63,266,222,211
"variegata_3",-39.2832,-12.5116,177,1516,118,75,63,295,230,235
"cryptantha_3",-39.466667,-12.85,159,1390,107,68,63,266,222,211
"variegata_3",-39.471944,-12.853056,159,1390,107,68,63,266,222,211
"variegata_3",-40.95,-20.433333,96,1717,167,106,63,263,197,182
"variegata_3",-40.98525,-18.569278,151,1526,164,111,67,315,247,234
"variegata_3",-40.985,-18.566111,151,1526,164,111,67,315,247,234
"variegata_3",-41.121111,-18.421667,129,1575,167,111,66,296,227,213
"variegata_3",-40.798611,-18.944167,146,1527,162,109,67,308,241,229
"variegata_3",-40.667778,-18.978889,157,1512,157,107,68,314,249,237
"variegata_3",-40.665556,-18.977778,159,1506,156,107,68,315,250,238
"variegata_3",-41.286139,-20.175833,97,1806,179,117,65,276,206,191
"variegata_3",-41.100556,-20.519167,77,1738,169,109,64,246,179,164
"variegata_3",-41.083611,-20.516111,77,1738,169,109,64,246,179,164
"variegata_3",-40.551111,-19.348333,155,1568,155,104,67,310,246,234
"variegata_3",-40.980014,-20.411644,91,1727,167,107,64,258,192,177
"variegata_3",-40.473889,-19.907944,139,1648,152,97,63,291,229,215
"cryptantha_3",-40.472222,-19.914167,139,1648,152,97,63,291,229,215
"variegata_3",-40.775,-19.797222,125,1665,163,107,65,288,223,209
"variegata_3",-40.7775,-19.8025,125,1665,163,107,65,288,223,209
"variegata_3",-40.981111,-19.741389,122,1706,171,112,65,293,225,211
"variegata_3",-40.824722,-19.888889,134,1689,164,107,65,298,233,219
"variegata_3",-41.439444,-20.868333,119,1895,180,115,63,299,229,212
"variegata_3",-41.554944,-20.945083,91,1889,182,119,65,273,203,187
"variegata_3",-41.545833,-20.940556,91,1889,182,119,65,273,203,187
"variegata_3",-40.4575,-18.77,160,1510,150,103,68,310,247,236
"variegata_3",-40.443889,-18.776944,160,1510,150,103,68,310,247,236
"variegata_3",-40.4625,-18.7669,164,1481,151,103,68,315,251,239
"variegata_3",-40.4625,-18.766944,164,1481,151,103,68,315,251,239
"variegata_3",-40.614444,-20.173056,126,1675,155,98,63,281,219,204
"variegata_3",-40.604167,-19.780556,158,1655,157,102,64,315,251,237
"variegata_3",-40.814722,-19.897778,134,1689,164,107,65,298,233,219
"variegata_3",-40.739444,-19.760833,152,1692,162,106,65,314,248,234
"variegata_3",-40.319167,-20.17,175,1662,135,81,60,310,254,240
"variegata_3",-40.328889,-20.191111,175,1662,135,81,60,310,254,240
"variegata_3",-41.008089,-20.436427,87,1710,169,108,63,256,189,174
"variegata_3",-42.475278,-20.700278,62,1865,181,120,66,243,177,160
"variegata_3",-44.466667,-20.733333,89,1883,182,123,67,271,206,191
"variegata_3",-42.0175,-21.9675,99,2112,170,102,60,269,206,189
"cryptantha_3",-58.0175,-21.9675,146,2982,197,114,57,343,281,249
"variegata_4",-45.44222222,-18.78777778,123,1636,186,131,70,309,242,231
"variegata_4",-43.552778,-18.355,105,1739,173,107,61,278,206,191
"variegata_4",-43.620417,-18.1543,109,1729,173,107,61,282,210,195
"variegata_4",-43.588711,-18.239956,107,1704,170,103,60,277,203,189
"variegata_4",-43.627794,-18.195092,108,1713,172,106,61,280,207,193
"variegata_4",-43.527406,-18.277497,107,1755,174,107,61,281,209,194
"variegata_4",-39.475556,-12.854444,159,1390,107,68,63,266,222,211
"cryptantha_4",-39.475833,-12.853611,159,1390,107,68,63,266,222,211
"variegata_4",-39.4758,-12.8536,159,1390,107,68,63,266,222,211
"variegata_4",-39.796111,-16.61,171,1566,139,94,67,310,254,242
"variegata_4",-39.533333,-12.75,175,1431,108,68,62,283,239,228
"variegata_4",-39.53333,-12.75,175,1431,108,68,62,283,239,228
"cryptantha_4",-39.475556,-12.853611,159,1390,107,68,63,266,222,211
"variegata_4",-39.2832,-12.5116,177,1516,118,75,63,295,230,235
"variegata_4",-39.466667,-12.85,159,1390,107,68,63,266,222,211
"variegata_4",-39.471944,-12.853056,159,1390,107,68,63,266,222,211
"variegata_4",-40.95,-20.433333,96,1717,167,106,63,263,197,182
"variegata_4",-40.98525,-18.569278,151,1526,164,111,67,315,247,234
"variegata_4",-40.985,-18.566111,151,1526,164,111,67,315,247,234
"variegata_4",-41.121111,-18.421667,129,1575,167,111,66,296,227,213
"cryptantha_4",-40.798611,-18.944167,146,1527,162,109,67,308,241,229
"variegata_4",-40.667778,-18.978889,157,1512,157,107,68,314,249,237
"variegata_4",-40.665556,-18.977778,159,1506,156,107,68,315,250,238
"variegata_4",-41.286139,-20.175833,97,1806,179,117,65,276,206,191
"variegata_4",-41.100556,-20.519167,77,1738,169,109,64,246,179,164
"variegata_4",-41.083611,-20.516111,77,1738,169,109,64,246,179,164
"variegata_4",-40.551111,-19.348333,155,1568,155,104,67,310,246,234
"variegata_4",-40.980014,-20.411644,91,1727,167,107,64,258,192,177
"variegata_4",-40.473889,-19.907944,139,1648,152,97,63,291,229,215
"cryptantha_4",-40.472222,-19.914167,139,1648,152,97,63,291,229,215
"variegata_4",-40.775,-19.797222,125,1665,163,107,65,288,223,209
"variegata_4",-40.7775,-19.8025,125,1665,163,107,65,288,223,209
"variegata_4",-40.981111,-19.741389,122,1706,171,112,65,293,225,211
"variegata_4",-40.824722,-19.888889,134,1689,164,107,65,298,233,219
"variegata_4",-41.439444,-20.868333,119,1895,180,115,63,299,229,212
"variegata_4",-41.554944,-20.945083,91,1889,182,119,65,273,203,187
"variegata_4",-41.545833,-20.940556,91,1889,182,119,65,273,203,187
"variegata_4",-40.4575,-18.77,160,1510,150,103,68,310,247,236
"variegata_4",-40.443889,-18.776944,160,1510,150,103,68,310,247,236
"variegata_4",-40.4625,-18.7669,164,1481,151,103,68,315,251,239
"variegata_4",-40.4625,-18.766944,164,1481,151,103,68,315,251,239
"cryptantha_4",-40.614444,-20.173056,126,1675,155,98,63,281,219,204
"variegata_4",-40.604167,-19.780556,158,1655,157,102,64,315,251,237
"variegata_4",-40.814722,-19.897778,134,1689,164,107,65,298,233,219
"variegata_4",-40.739444,-19.760833,152,1692,162,106,65,314,248,234
"variegata_4",-40.319167,-20.17,175,1662,135,81,60,310,254,240
"variegata_4",-40.328889,-20.191111,175,1662,135,81,60,310,254,240
"cryptantha_4",-41.008089,-20.436427,87,1710,169,108,63,256,189,174
"variegata_4",-42.475278,-20.700278,62,1865,181,120,66,243,177,160
"variegata_4",-44.466667,-20.733333,89,1883,182,123,67,271,206,191
"variegata_4",-42.0175,-21.9675,99,2112,170,102,60,269,206,189
"variegata_4",-58.0175,-21.9675,146,2982,197,114,57,343,281,249
"variegata_5",-45.44222222,-18.78777778,123,1636,186,131,70,309,242,231
"variegata_5",-43.552778,-18.355,105,1739,173,107,61,278,206,191
"variegata_5",-43.620417,-18.1543,109,1729,173,107,61,282,210,195
"variegata_5",-43.588711,-18.239956,107,1704,170,103,60,277,203,189
"variegata_5",-43.627794,-18.195092,108,1713,172,106,61,280,207,193
"variegata_5",-43.527406,-18.277497,107,1755,174,107,61,281,209,194
"variegata_5",-39.475556,-12.854444,159,1390,107,68,63,266,222,211
"variegata_5",-39.475833,-12.853611,159,1390,107,68,63,266,222,211
"variegata_5",-39.4758,-12.8536,159,1390,107,68,63,266,222,211
"variegata_5",-39.796111,-16.61,171,1566,139,94,67,310,254,242
"variegata_5",-39.533333,-12.75,175,1431,108,68,62,283,239,228
"variegata_5",-39.53333,-12.75,175,1431,108,68,62,283,239,228
"cryptantha_5",-39.475556,-12.853611,159,1390,107,68,63,266,222,211
"variegata_5",-39.2832,-12.5116,177,1516,118,75,63,295,230,235
"variegata_5",-39.466667,-12.85,159,1390,107,68,63,266,222,211
"variegata_5",-39.471944,-12.853056,159,1390,107,68,63,266,222,211
"variegata_5",-40.95,-20.433333,96,1717,167,106,63,263,197,182
"variegata_5",-40.98525,-18.569278,151,1526,164,111,67,315,247,234
"variegata_5",-40.985,-18.566111,151,1526,164,111,67,315,247,234
"variegata_5",-41.121111,-18.421667,129,1575,167,111,66,296,227,213
"variegata_5",-40.798611,-18.944167,146,1527,162,109,67,308,241,229
"variegata_5",-40.667778,-18.978889,157,1512,157,107,68,314,249,237
"variegata_5",-40.665556,-18.977778,159,1506,156,107,68,315,250,238
"variegata_5",-41.286139,-20.175833,97,1806,179,117,65,276,206,191
"variegata_5",-41.100556,-20.519167,77,1738,169,109,64,246,179,164
"variegata_5",-41.083611,-20.516111,77,1738,169,109,64,246,179,164
"cryptantha_5",-40.551111,-19.348333,155,1568,155,104,67,310,246,234
"variegata_5",-40.980014,-20.411644,91,1727,167,107,64,258,192,177
"variegata_5",-40.473889,-19.907944,139,1648,152,97,63,291,229,215
"cryptantha_5",-40.472222,-19.914167,139,1648,152,97,63,291,229,215
"variegata_5",-40.775,-19.797222,125,1665,163,107,65,288,223,209
"cryptantha_5",-40.7775,-19.8025,125,1665,163,107,65,288,223,209
"variegata_5",-40.981111,-19.741389,122,1706,171,112,65,293,225,211
"variegata_5",-40.824722,-19.888889,134,1689,164,107,65,298,233,219
"variegata_5",-41.439444,-20.868333,119,1895,180,115,63,299,229,212
"variegata_5",-41.554944,-20.945083,91,1889,182,119,65,273,203,187
"variegata_5",-41.545833,-20.940556,91,1889,182,119,65,273,203,187
"variegata_5",-40.4575,-18.77,160,1510,150,103,68,310,247,236
"variegata_5",-40.443889,-18.776944,160,1510,150,103,68,310,247,236
"variegata_5",-40.4625,-18.7669,164,1481,151,103,68,315,251,239
"variegata_5",-40.4625,-18.766944,164,1481,151,103,68,315,251,239
"variegata_5",-40.614444,-20.173056,126,1675,155,98,63,281,219,204
"variegata_5",-40.604167,-19.780556,158,1655,157,102,64,315,251,237
"variegata_5",-40.814722,-19.897778,134,1689,164,107,65,298,233,219
"variegata_5",-40.739444,-19.760833,152,1692,162,106,65,314,248,234
"cryptantha_5",-40.319167,-20.17,175,1662,135,81,60,310,254,240
"variegata_5",-40.328889,-20.191111,175,1662,135,81,60,310,254,240
"variegata_5",-41.008089,-20.436427,87,1710,169,108,63,256,189,174
"variegata_5",-42.475278,-20.700278,62,1865,181,120,66,243,177,160
"variegata_5",-44.466667,-20.733333,89,1883,182,123,67,271,206,191
"cryptantha_5",-42.0175,-21.9675,99,2112,170,102,60,269,206,189
"variegata_5",-58.0175,-21.9675,146,2982,197,114,57,343,281,249
"variegata_6",-45.44222222,-18.78777778,123,1636,186,131,70,309,242,231
"variegata_6",-43.552778,-18.355,105,1739,173,107,61,278,206,191
"variegata_6",-43.620417,-18.1543,109,1729,173,107,61,282,210,195
"variegata_6",-43.588711,-18.239956,107,1704,170,103,60,277,203,189
"variegata_6",-43.627794,-18.195092,108,1713,172,106,61,280,207,193
"variegata_6",-43.527406,-18.277497,107,1755,174,107,61,281,209,194
"variegata_6",-39.475556,-12.854444,159,1390,107,68,63,266,222,211
"variegata_6",-39.475833,-12.853611,159,1390,107,68,63,266,222,211
"variegata_6",-39.4758,-12.8536,159,1390,107,68,63,266,222,211
"variegata_6",-39.796111,-16.61,171,1566,139,94,67,310,254,242
"cryptantha_6",-39.533333,-12.75,175,1431,108,68,62,283,239,228
"variegata_6",-39.53333,-12.75,175,1431,108,68,62,283,239,228
"cryptantha_6",-39.475556,-12.853611,159,1390,107,68,63,266,222,211
"variegata_6",-39.2832,-12.5116,177,1516,118,75,63,295,230,235
"variegata_6",-39.466667,-12.85,159,1390,107,68,63,266,222,211
"variegata_6",-39.471944,-12.853056,159,1390,107,68,63,266,222,211
"variegata_6",-40.95,-20.433333,96,1717,167,106,63,263,197,182
"variegata_6",-40.98525,-18.569278,151,1526,164,111,67,315,247,234
"variegata_6",-40.985,-18.566111,151,1526,164,111,67,315,247,234
"variegata_6",-41.121111,-18.421667,129,1575,167,111,66,296,227,213
"variegata_6",-40.798611,-18.944167,146,1527,162,109,67,308,241,229
"variegata_6",-40.667778,-18.978889,157,1512,157,107,68,314,249,237
"variegata_6",-40.665556,-18.977778,159,1506,156,107,68,315,250,238
"variegata_6",-41.286139,-20.175833,97,1806,179,117,65,276,206,191
"variegata_6",-41.100556,-20.519167,77,1738,169,109,64,246,179,164
"variegata_6",-41.083611,-20.516111,77,1738,169,109,64,246,179,164
"variegata_6",-40.551111,-19.348333,155,1568,155,104,67,310,246,234
"variegata_6",-40.980014,-20.411644,91,1727,167,107,64,258,192,177
"variegata_6",-40.473889,-19.907944,139,1648,152,97,63,291,229,215
"variegata_6",-40.472222,-19.914167,139,1648,152,97,63,291,229,215
"cryptantha_6",-40.775,-19.797222,125,1665,163,107,65,288,223,209
"variegata_6",-40.7775,-19.8025,125,1665,163,107,65,288,223,209
"variegata_6",-40.981111,-19.741389,122,1706,171,112,65,293,225,211
"variegata_6",-40.824722,-19.888889,134,1689,164,107,65,298,233,219
"variegata_6",-41.439444,-20.868333,119,1895,180,115,63,299,229,212
"variegata_6",-41.554944,-20.945083,91,1889,182,119,65,273,203,187
"variegata_6",-41.545833,-20.940556,91,1889,182,119,65,273,203,187
"cryptantha_6",-40.4575,-18.77,160,1510,150,103,68,310,247,236
"variegata_6",-40.443889,-18.776944,160,1510,150,103,68,310,247,236
"variegata_6",-40.4625,-18.7669,164,1481,151,103,68,315,251,239
"variegata_6",-40.4625,-18.766944,164,1481,151,103,68,315,251,239
"variegata_6",-40.614444,-20.173056,126,1675,155,98,63,281,219,204
"variegata_6",-40.604167,-19.780556,158,1655,157,102,64,315,251,237
"variegata_6",-40.814722,-19.897778,134,1689,164,107,65,298,233,219
"cryptantha_6",-40.739444,-19.760833,152,1692,162,106,65,314,248,234
"variegata_6",-40.319167,-20.17,175,1662,135,81,60,310,254,240
"variegata_6",-40.328889,-20.191111,175,1662,135,81,60,310,254,240
"variegata_6",-41.008089,-20.436427,87,1710,169,108,63,256,189,174
"variegata_6",-42.475278,-20.700278,62,1865,181,120,66,243,177,160
"variegata_6",-44.466667,-20.733333,89,1883,182,123,67,271,206,191
"variegata_6",-42.0175,-21.9675,99,2112,170,102,60,269,206,189
"cryptantha_6",-58.0175,-21.9675,146,2982,197,114,57,343,281,249
"variegata_7",-45.44222222,-18.78777778,123,1636,186,131,70,309,242,231
"variegata_7",-43.552778,-18.355,105,1739,173,107,61,278,206,191
"variegata_7",-43.620417,-18.1543,109,1729,173,107,61,282,210,195
"variegata_7",-43.588711,-18.239956,107,1704,170,103,60,277,203,189
"variegata_7",-43.627794,-18.195092,108,1713,172,106,61,280,207,193
"variegata_7",-43.527406,-18.277497,107,1755,174,107,61,281,209,194
"variegata_7",-39.475556,-12.854444,159,1390,107,68,63,266,222,211
"variegata_7",-39.475833,-12.853611,159,1390,107,68,63,266,222,211
"variegata_7",-39.4758,-12.8536,159,1390,107,68,63,266,222,211
"variegata_7",-39.796111,-16.61,171,1566,139,94,67,310,254,242
"variegata_7",-39.533333,-12.75,175,1431,108,68,62,283,239,228
"variegata_7",-39.53333,-12.75,175,1431,108,68,62,283,239,228
"cryptantha_7",-39.475556,-12.853611,159,1390,107,68,63,266,222,211
"variegata_7",-39.2832,-12.5116,177,1516,118,75,63,295,230,235
"variegata_7",-39.466667,-12.85,159,1390,107,68,63,266,222,211
"variegata_7",-39.471944,-12.853056,159,1390,107,68,63,266,222,211
"variegata_7",-40.95,-20.433333,96,1717,167,106,63,263,197,182
"variegata_7",-40.98525,-18.569278,151,1526,164,111,67,315,247,234
"variegata_7",-40.985,-18.566111,151,1526,164,111,67,315,247,234
"variegata_7",-41.121111,-18.421667,129,1575,167,111,66,296,227,213
"variegata_7",-40.798611,-18.944167,146,1527,162,109,67,308,241,229
"variegata_7",-40.667778,-18.978889,157,1512,157,107,68,314,249,237
"variegata_7",-40.665556,-18.977778,159,1506,156,107,68,315,250,238
"variegata_7",-41.286139,-20.175833,97,1806,179,117,65,276,206,191
