"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"	"X47"	"X48"	"X49"	"X50"	"X51"	"X52"	"X53"	"X54"	"X55"	"X56"	"X57"	"X58"	"X59"	"X60"	"X61"	"X62"
"X12"	0.95274424	0.96959724	0.9624763	0.97718438	0.98447023	0.968083	0.91511762	0.98932765	0.91695541	0.98769523	NA	0.7261649	0.74357664	0.79539411	0.86065545	0.69428746	0.79751636	0.76089634	0.74808543	0.74024682	0.72080051	0.7649315	0.7821407	0.72861272	0.72703763	0.69365572	0.69271808	0.86582734	0.84561161	0.70180973	0.85717324	0.82520195	0.74584461	0.78605154	0.75011092	0.74272659	0.82284019	0.86289456	0.70560117	0.72153139	0.7293102	0.73078059	0.86847369	0.77520391	0.68049736	0.88041974	0.91900852	0.77733695	0.72390347	0.98715722	0.84530027	0.84816907	0.79538026	0.6972261	0.69982151	0.80151545	0.73630394	0.72825883	0.85397162	0.85468297	0.85038901
"X13"	0.99821294	0.97728282	0.99399897	0.98907318	0.9818665	0.99439721	0.99769297	0.88122109	0.99813873	0.90401048	0.9376278	NA	0.88574241	0.56019873	0.85128808	0.87539976	0.91934665	0.96180128	0.53508546	0.93418462	0.90524744	0.54041159	0.55543649	0.99563505	0.92363866	0.96346171	0.91842456	0.80965365	0.80003071	0.88299507	0.81661326	0.892838	0.5125009	0.85233001	0.94936789	0.52139839	0.84261313	0.82366283	0.92368189	0.90755473	0.98344396	0.9069849	0.85582923	0.91760718	0.90613431	0.84327471	0.69706921	0.54418513	0.92413175	0.71728815	0.81962534	0.83934574	0.92513801	0.91771647	0.96905021	0.84627148	0.91207078	0.97189919	0.81535502	0.82061355	0.66900282
"X14"	0.99135309	0.99578973	0.9968616	0.98896827	0.98530538	0.99146279	0.98416406	0.90424033	0.98469702	0.93570582	0.95367102	0.98935106	NA	0.60673323	0.85468654	0.94661438	0.88064967	0.88241427	0.5849125	0.94174144	0.96281857	0.58423652	0.60401092	0.88731087	0.94954878	0.87552703	0.92896203	0.84635759	0.79650247	0.95132445	0.82588232	0.87536727	0.55820389	0.92107652	0.93232026	0.57204677	0.88189203	0.8322391	0.93459033	0.96117913	0.8848939	0.97028604	0.85879746	0.93568182	0.91963019	0.84877455	0.73052977	0.58246904	0.94752781	0.73431395	0.82796325	0.83962197	0.88203349	0.92779772	0.87855529	0.92356518	0.96149587	0.89290655	0.84418068	0.86996283	0.72063616
"X15"	0.85738859	0.91206441	0.88160394	0.90054535	0.91602078	0.88355485	0.80326849	0.98562089	0.80545731	0.98194935	0.96793262	0.83408178	0.87768381	NA	0.6706344	0.55845211	0.62259051	0.58447672	0.90282295	0.59046784	0.57974104	0.94411273	0.95706409	0.56203764	0.57927422	0.53109405	0.54801323	0.71207006	0.66043737	0.56316225	0.67223629	0.63728943	0.93349145	0.6513091	0.5944649	0.93173984	0.65952741	0.67513512	0.56008418	0.57868492	0.56233315	0.58827804	0.68007775	0.62019	0.5383854	0.6901911	0.8363819	0.94863466	0.57695675	0.7966232	0.66074747	0.6587143	0.61594333	0.5548915	0.53669131	0.66818594	0.59544882	0.56517351	0.69448227	0.71133254	0.81215441
"X16"	0.99079482	0.98649705	0.99383872	0.99909935	0.99977741	0.99625319	0.96875799	0.94835876	0.97021231	0.95732911	0.98378346	0.98258546	0.98529278	0.91455223	NA	0.80729965	0.9217856	0.88759681	0.62609367	0.86117322	0.83748197	0.64118413	0.66164722	0.85376232	0.84554233	0.81704909	0.81118679	0.91719931	0.92849986	0.81540695	0.94987172	0.95700697	0.61988655	0.87475139	0.87294634	0.61621359	0.91465616	0.96527066	0.82406467	0.8378979	0.85386196	0.84607235	0.96539353	0.89607237	0.79749592	0.96196292	0.81444531	0.6513044	0.84300312	0.85573652	0.94838234	0.97236936	0.92339125	0.81556395	0.82327491	0.87311222	0.85335772	0.85151864	0.92027324	0.88726465	0.75918903
"X17"	0.98855372	0.98860285	0.99202534	0.97992241	0.97347648	0.98532712	0.9889337	0.87449473	0.9891037	0.91208487	0.93177199	0.98997279	0.99752216	0.84435192	0.97358071	NA	0.85067814	0.86719534	0.54500696	0.92750253	0.96235965	0.5363513	0.55537118	0.8767965	0.94344758	0.87898252	0.95272092	0.79508251	0.75034756	0.98320856	0.77764873	0.83702914	0.5097884	0.87352545	0.91328842	0.52888272	0.83287827	0.78383773	0.94918743	0.96086996	0.87446705	0.9569339	0.81182026	0.90199823	0.95103272	0.80033926	0.68163093	0.5346831	0.94649708	0.68443247	0.78054071	0.79348805	0.85694004	0.94244217	0.8803014	0.87188367	0.9432423	0.88381067	0.79392255	0.82171586	0.68204817
"X18"	0.99815785	0.98754496	0.99727038	0.99856498	0.99554746	0.99984025	0.98516025	0.92306447	0.9861806	0.94020134	0.96776351	0.99423813	0.99135889	0.88294824	0.9955987	0.98544051	NA	0.94856242	0.58569928	0.90914535	0.88312196	0.59696034	0.61197744	0.92162436	0.90118047	0.88313644	0.86875407	0.87169039	0.86442468	0.86311378	0.87838866	0.95744296	0.57005261	0.86940164	0.92798777	0.5747472	0.88394596	0.88944807	0.88032213	0.88597712	0.92559289	0.8911277	0.92842832	0.93033224	0.85554867	0.91625203	0.76530543	0.60583462	0.89501597	0.78819551	0.87751919	0.90327133	0.97567405	0.86802123	0.8885371	0.8697595	0.89587808	0.92356701	0.87764433	0.86984996	0.72174149
"X19"	0.99978871	0.98140758	0.99681469	0.99431455	0.98908924	0.99768924	0.99364055	0.89727998	0.99441208	0.91724031	0.95004369	0.99890285	0.99075865	0.85277299	0.98956563	0.9884713	0.99739762	NA	0.55336884	0.93014339	0.89919071	0.56450517	0.57985406	0.96427411	0.9150735	0.92537426	0.90263799	0.84296433	0.83540919	0.87416869	0.85005029	0.92983148	0.53722724	0.86722289	0.94751008	0.54127394	0.87160241	0.85967926	0.9120192	0.90160903	0.9633433	0.90243804	0.89130261	0.93254522	0.88888077	0.87886514	0.73011604	0.57035597	0.91703458	0.75207232	0.85400514	0.87528922	0.96228307	0.90333689	0.93142936	0.85945182	0.90636029	0.95689067	0.84758927	0.84277598	0.68795085
"X20"	0.84672291	0.90800367	0.87088651	0.88936318	0.90511186	0.87323442	0.79447205	0.97816005	0.79630238	0.98337106	0.95842527	0.82424149	0.87005331	0.99098032	0.90255925	0.83723591	0.87300709	0.84271946	NA	0.55948776	0.55910191	0.9286418	0.9358575	0.53579187	0.5629792	0.51286127	0.53458625	0.68725725	0.63046259	0.5518588	0.62513661	0.59396241	0.90328811	0.61664926	0.56671523	0.92388545	0.6167507	0.62893028	0.54155804	0.56205884	0.53652308	0.56862429	0.64086217	0.58125972	0.52570172	0.64911568	0.81142399	0.92740806	0.55392481	0.75182147	0.61535518	0.61391295	0.5774181	0.53393623	0.51774011	0.63976625	0.56738849	0.53893789	0.6761995	0.69502899	0.82884229
"X21"	0.99710815	0.98896966	0.99848439	0.99147388	0.98623955	0.99502695	0.99283886	0.89392072	0.99339239	0.92122011	0.94749362	0.99672177	0.99730656	0.85836197	0.98670974	0.99608869	0.99459154	0.99722393	0.84872176	NA	0.96464359	0.56914641	0.58708005	0.93634656	0.96333227	0.9203435	0.9435365	0.83830666	0.80567445	0.93139691	0.83059549	0.89673722	0.54197091	0.9013633	0.97553595	0.54737005	0.87780792	0.83775149	0.95695824	0.96394716	0.93251842	0.96499949	0.86293789	0.95995662	0.93169208	0.85139236	0.72155826	0.5700244	0.97745174	0.73052544	0.83410332	0.84944014	0.91874024	0.95354733	0.92505969	0.89339005	0.9687184	0.93654226	0.84089429	0.85195331	0.6928663
